file name,total frames,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
log46_1537295813898777_scene-0625.csv,35,0.8794571428571428,0.9463428571428572,0.08617142857142858,1.369314285714286,0.8371142857142857,0.27897142857142854,1.5620571428571426
log46_1537295833898809_scene-0626.csv,39,0.8511794871794871,0.8983333333333332,0.16271794871794873,1.619948717948718,0.8246153846153845,0.326948717948718,1.784153846153846
log46_1537295873900491_scene-0627.csv,28,0.8008214285714287,0.8224999999999999,0.19014285714285714,1.137857142857143,0.7948571428571428,0.26239285714285715,1.21025
log46_1537295913899429_scene-0629.csv,34,0.9028529411764705,0.9402352941176471,0.11594117647058824,1.6369117647058822,0.8781176470588234,0.2311470588235294,1.7520882352941176
log46_1537295946898999_scene-0630.csv,39,0.8357179487179486,0.8115641025641026,0.29558974358974355,1.441871794871795,0.8868717948717947,0.14087179487179485,1.2870512820512825
log46_1537295986951036_scene-0632.csv,16,0.8141875,0.861375,0.141,0.8275625,0.8295625,0.17475000000000002,0.8614375000000001
log46_1537296035899073_scene-0633.csv,31,0.7371290322580645,0.8725161290322583,0.16816129032258065,1.1323870967741934,0.6698387096774193,0.47412903225806446,1.4383548387096776
log46_1537296055898536_scene-0634.csv,37,0.8843513513513512,0.931,0.11524324324324323,1.720297297297297,0.8495945945945944,0.29405405405405416,1.8991351351351349
log46_1537296075899673_scene-0635.csv,38,0.9628947368421054,0.9920526315789474,0.011289473684210528,0.9950263157894735,0.943157894736842,0.07863157894736843,1.0623421052631576
log46_1537296115948908_scene-0636.csv,13,0.8427692307692308,1.0,0.0,0.8467692307692308,0.7597692307692306,0.3436923076923077,1.1904615384615385
log46_1537296175899772_scene-0637.csv,38,0.8935263157894737,0.9381315789473684,0.11092105263157895,1.6837105263157894,0.8587368421052632,0.26065789473684214,1.8335263157894734
log46_1537296195898137_scene-0638.csv,34,0.9047941176470589,0.9324411764705882,0.11632352941176471,1.3972647058823529,0.8871176470588236,0.20055882352941176,1.4814117647058822
Ave,382,0.8653193717277486,0.9113429319371728,0.13216753926701572,1.3799869109947642,0.8433062827225128,0.25070418848167547,1.4985183246073297
